Nitrogen Content,Posphorous Content,Potassium Content,temperature,humidity,ph,rainfall,label
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,mungbean
21,21,38,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans
10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,banana
31,58,15,28.31886863,60.19461399,6.167855382,45.36521251,lentil
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
33,15,7,15.83388699,91.68293851,7.651225301,109.7571416,orange
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
7,17,10,10.16431299,91.22320999,6.465913274,106.362551,orange
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,mango
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon
84,55,38,26.8748389,79.78725152,6.956682743,173.1017097,jute
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,kidneybeans
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,orange
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,coffee
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,coconut
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,lentil
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes
50,46,52,31.18298415,90.21646909,6.734005648,54.01872359,papaya
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute
97,22,50,26.26028739,86.14585891,6.7698938,58.97878791,watermelon
40,22,6,24.53610067,91.90997228,6.488221135,115.9787989,orange
16,8,9,24.60297538,91.28408653,7.601189843,111.2948115,orange
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,coffee
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,cotton
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,watermelon
35,74,22,26.7230014,62.96841833,6.898905799,42.87274897,lentil
100,41,22,22.4204752,84.55794703,7.318802162,93.46595573,cotton
5,74,21,16.24469193,21.35793891,5.591704014,66.97053257,kidneybeans
3,9,35,26.91641934,99.84671638,6.318552973,225.6323656,coconut
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,coffee
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,watermelon
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
40,17,15,21.35093384,90.9492967,7.871063004,107.0862095,orange
84,7,51,26.81530456,87.65694462,6.399669044,55.74073582,watermelon
14,23,25,26.18552389,96.96637916,5.612122797,135.4186222,coconut
131,49,22,25.49848236,79.9751579,7.306918817,67.05961949,cotton
0,18,14,29.77149434,92.00719952,7.207991261,114.4161786,orange
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,coffee
33,120,205,35.12158265,82.26890793,5.550832178,69.71518491,grapes
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas
1,15,9,29.98364695,94.55239717,7.53350946,115.3560318,orange
40,140,195,14.97846952,80.49979873,6.294395676,71.63437433,grapes
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
48,57,54,29.02328049,90.20396783,6.617703178,126.8069869,papaya
107,5,52,26.6634609,89.98405233,6.881425746,57.40847165,watermelon
